callsign,icao24,typecode,airport,timestamp
QQE211,06a36d,UNKNOWN,LSZH,2026-03-01 12:00:01+00:00
DLA1RL,3003ae,E195,LSZH,2026-03-01 12:27:30+00:00
IBE06CH,34608f,A20N,LSZH,2026-03-01 12:38:03+00:00
AFR49JR,3991e7,A320,LSZH,2026-03-01 12:47:55+00:00
EWG7XR,3c4906,A320,LSZH,2026-03-01 12:00:01+00:00
XRO1087,3e32f6,UNKNOWN,LSZH,2026-03-01 12:39:37+00:00
AUA13D,44006c,A320,LSZH,2026-03-01 12:53:27+00:00
KLM1921,48548e,E75L,LSZH,2026-03-01 12:00:01+00:00
NJE266M,491d8d,UNKNOWN,LSZH,2026-03-01 13:07:28+00:00
HUE12P,4b0dd0,UNKNOWN,LSZH,2026-03-01 12:39:30+00:00
HBFXI,4b0f92,PC12,LSZH,2026-03-01 12:27:06+00:00
PJZ063,4b18d9,UNKNOWN,LSZH,2026-03-01 13:26:07+00:00
SWR39,4b191c,B77W,LSZH,2026-03-01 13:39:30+00:00
SWR41G,4b191d,B77W,LSZH,2026-03-01 13:17:13+00:00
SWR80K,4b194b,A21N,LSZH,2026-03-01 12:56:13+00:00
SAZ72,4b1a02,CL60,LSZH,2026-03-01 12:36:39+00:00
HBKIS,4b1b4a,UNKNOWN,LSZH,2026-03-01 12:38:07+00:00
HBKMX,4b1bb7,P208,LSZH,2026-03-01 13:49:43+00:00
HBOMN,4b263d,P28A,LSZH,2026-03-01 13:25:54+00:00
HBPKR,4b28b1,P28A,LSZH,2026-03-01 12:47:50+00:00
HBPKR,4b28b1,P28A,LSZH,2026-03-01 13:50:34+00:00
HBSAJ,4b2f91,UNKNOWN,LSZH,2026-03-01 13:48:17+00:00
THY30R,4bb274,A21N,LSZH,2026-03-01 12:03:14+00:00
PGT47LK,4bc889,UNKNOWN,LSZH,2026-03-01 12:14:07+00:00
ASL81Z,4c0260,UNKNOWN,LSZH,2026-03-01 12:47:54+00:00
SAS603,4cafd7,CRJ9,LSZH,2026-03-01 12:34:22+00:00
EWG59G,4d240d,A320,LSZH,2026-03-01 13:40:57+00:00
FIX005,506c45,UNKNOWN,LSZH,2026-03-01 13:17:44+00:00
